Country Name,Col2,Col3,Col4,Col5,Col6
Fiji,0,0,0,0,1
Tanzania,0,0,0,0,1
W. Sahara,0,0,0,0,1
Canada,0,0,0,0,1
United States of America,0,0,0,0,1
Chile,0,0,0,0,1
Dem. Rep. Congo,0,0,0,0,1
Dominican Rep.,0,0,0,0,1
Russia,0,0,0,0,1
Bahamas,0,0,0,0,1
Falkland Is.,0,0,0,0,1
Norway,0,0,0,0,1
Greenland,0,0,0,0,1
Fr. S. Antarctic Lands,0,0,0,0,1
Lesotho,0,0,0,0,1
Uruguay,0,0,0,0,1
Bolivia,0,0,0,0,1
Venezuela,0,0,0,0,1
France,0,0,0,0,1
Puerto Rico,0,0,0,0,1
Jamaica,0,0,0,0,1
Cuba,0,0,0,0,1
Central African Rep.,0,0,0,0,1
Eq. Guinea,0,0,0,0,1
eSwatini,0,0,0,0,1
Israel,0,0,0,0,1
Lebanon,0,0,0,0,1
Palestine,0,0,0,0,1
Tunisia,0,0,0,0,1
Jordan,0,0,0,0,1
Qatar,0,0,0,0,1
Kuwait,0,0,0,0,1
Laos,0,0,0,0,1
Vietnam,0,0,0,0,1
Mongolia,0,0,0,0,1
Turkmenistan,0,0,0,0,1
Iran,0,0,0,0,1
Syria,0,0,0,0,1
Sweden,0,0,0,0,1
Belarus,0,0,0,0,1
Ukraine,0,0,0,0,1
Poland,0,0,0,0,1
Austria,0,0,0,0,1
Hungary,0,0,0,0,1
Moldova,0,0,0,0,1
Romania,0,0,0,0,1
Lithuania,0,0,0,0,1
Latvia,0,0,0,0,1
Estonia,0,0,0,0,1
Germany,0,0,0,0,1
Bulgaria,0,0,0,0,1
Greece,0,0,0,0,1
Albania,0,0,0,0,1
Croatia,0,0,0,0,1
Switzerland,0,0,0,0,1
Luxembourg,0,0,0,0,1
Belgium,0,0,0,0,1
Netherlands,0,0,0,0,1
Portugal,0,0,0,0,1
Spain,0,0,0,0,1
Ireland,0,0,0,0,1
New Caledonia,0,0,0,0,1
Solomon Is.,0,0,0,0,1
New Zealand,0,0,0,0,1
Australia,0,0,0,0,1
Taiwan,0,0,0,0,1
Italy,0,0,0,0,1
Denmark,0,0,0,0,1
United Kingdom,0,0,0,0,1
Iceland,0,0,0,0,1
Brunei,0,0,0,0,1
Slovenia,0,0,0,0,1
Finland,0,0,0,0,1
Slovakia,0,0,0,0,1
Czechia,0,0,0,0,1
Japan,0,0,0,0,1
Antarctica,0,0,0,0,1
N. Cyprus,0,0,0,0,1
Cyprus,0,0,0,0,1
Libya,0,0,0,0,1
Somaliland,0,0,0,0,1
Bosnia and Herz.,0,0,0,0,1
Macedonia,0,0,0,0,1
Serbia,0,0,0,0,1
Montenegro,0,0,0,0,1
Kosovo,0,0,0,0,1
Trinidad and Tobago,0,0,0,0,1
S. Sudan,0,0,0,0,1
